seqname,tax_id
MXI2875009.1_cupredoxin_domain-containing_protein__Xacillota_bacterium_,cladeI
HYG60675.1_cupredoxin_domain-containing_protein__Symbiobacteriaceae_bacterium_,cladeI
HYG60882.1_hypothetical_protein__Symbiobacteriaceae_bacterium_,cladeI
HYF92970.1_cupredoxin_domain-containing_protein__Symbiobacteriaceae_bacterium_,cladeI
MDP6559599.1_TAT-dependent_nitrous-oxide_reductase__Candidatus_Xinatia_bacterium_,cladeI
MXI3092120.1_cupredoxin_domain-containing_protein__Candidatus_Tectomicrobia_bacterium_,cladeI
HXH11280.1_cupredoxin_domain-containing_protein__Alphaproteobacteria_bacterium_,cladeI
MXI4641875.1_cupredoxin_domain-containing_protein__Candidatus_Tectomicrobia_bacterium_,cladeI
HYL59051.1_hypothetical_protein__Candidatus_Acidoferrales_bacterium_,cladeI
HSR58732.1_hypothetical_protein__Candidatus_Xinataceae_bacterium_,cladeI
HVS65291.1_TAT-dependent_nitrous-oxide_reductase__Thermoanaerobaculia_bacterium_,cladeI
MDH3524406.1_TAT-dependent_nitrous-oxide_reductase__Acidobacteriota_bacterium_,cladeI
MDH3744435.1_TAT-dependent_nitrous-oxide_reductase__Acidobacteriota_bacterium_,cladeI
MXY0493415.1_cupredoxin_domain-containing_protein__Cyanobacteriota_bacterium_,cladeI
RPI57616.1_MAG__TAT-dependent_nitrous-oxide_reductase__Acidobacteriota_bacterium_,cladeI
MXI2834337.1_cupredoxin_domain-containing_protein__Acidobacteriota_bacterium_,cladeI
HMA17001.1_cupredoxin_domain-containing_protein__Thermoanaerobaculia_bacterium_,cladeI
HKX69294.1_cupredoxin_domain-containing_protein__Thermoanaerobaculia_bacterium_,cladeI
HET9793303.1_cupredoxin_domain-containing_protein__Thermoanaerobaculia_bacterium_,cladeI
HTL01609.1_cupredoxin_domain-containing_protein__Vicinamibacterales_bacterium_,cladeI
MCC7416208.1_cupredoxin_domain-containing_protein__Acidobacteriota_bacterium_,cladeI
HXR23023.1_cupredoxin_domain-containing_protein__Vicinamibacterales_bacterium_,cladeI
MXX5556966.1_cupredoxin_domain-containing_protein__Terriglobia_bacterium_,cladeI
